"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","01-Nov-2019","       1230.35","       1239.00","       1243.75","       1227.60","       1243.00","       1240.05","       1235.87","    5756130","          7113824716.75","     144831","    3699600","         64.27"
"HDFCBANK","EQ","04-Nov-2019","       1240.05","       1246.45","       1250.00","       1229.05","       1237.95","       1236.85","       1239.18","    4967588","          6155741415.20","     160851","    2736666","         55.09"
"HDFCBANK","EQ","05-Nov-2019","       1236.85","       1241.00","       1244.80","       1229.05","       1240.00","       1239.50","       1236.72","    6183905","          7647753429.00","     116040","    4013870","         64.91"
"HDFCBANK","EQ","06-Nov-2019","       1239.50","       1242.45","       1259.00","       1228.05","       1256.50","       1256.65","       1243.91","    6065168","          7544516054.50","     106886","    3530632","         58.21"
"HDFCBANK","EQ","07-Nov-2019","       1256.65","       1261.00","       1269.70","       1250.00","       1262.05","       1263.70","       1260.30","    8481517","         10689227499.00","     158059","    5309958","         62.61"
"HDFCBANK","EQ","08-Nov-2019","       1263.70","       1259.00","       1267.00","       1251.45","       1254.85","       1255.60","       1258.28","    6625748","          8337070329.90","     123060","    4276184","         64.54"
"HDFCBANK","EQ","11-Nov-2019","       1255.60","       1252.55","       1268.50","       1250.50","       1265.30","       1264.75","       1260.58","    7143305","          9004703936.15","      87967","    5175501","         72.45"
"HDFCBANK","EQ","13-Nov-2019","       1264.75","       1261.95","       1270.00","       1253.60","       1258.00","       1257.55","       1260.90","    4646748","          5859068447.60","     123817","    2809517","         60.46"
"HDFCBANK","EQ","14-Nov-2019","       1257.55","       1263.80","       1277.00","       1257.20","       1275.00","       1273.90","       1267.09","    5527609","          7003995795.10","     124827","    2793186","         50.53"
"HDFCBANK","EQ","15-Nov-2019","       1273.90","       1283.85","       1285.00","       1271.10","       1279.75","       1277.90","       1279.78","    4639506","          5937530374.55","     116607","    2357045","         50.80"
"HDFCBANK","EQ","18-Nov-2019","       1277.90","       1277.00","       1279.45","       1258.70","       1262.65","       1262.05","       1264.60","    4565146","          5773101976.90","     143584","    2914231","         63.84"
